DIA_SEMANA_t-7,LABORAL_t-7,FIN_DE_SEMANA_t-7,FESTIVO_t-7,PORCENTAJE.USO_t-7,NUMERO.CONEXIONES_t-7,USAGE.KB_t-7,DIA_SEMANA_t-6,LABORAL_t-6,FIN_DE_SEMANA_t-6,FESTIVO_t-6,PORCENTAJE.USO_t-6,NUMERO.CONEXIONES_t-6,USAGE.KB_t-6,DIA_SEMANA_t-5,LABORAL_t-5,FIN_DE_SEMANA_t-5,FESTIVO_t-5,PORCENTAJE.USO_t-5,NUMERO.CONEXIONES_t-5,USAGE.KB_t-5,DIA_SEMANA_t-4,LABORAL_t-4,FIN_DE_SEMANA_t-4,FESTIVO_t-4,PORCENTAJE.USO_t-4,NUMERO.CONEXIONES_t-4,USAGE.KB_t-4,DIA_SEMANA_t-3,LABORAL_t-3,FIN_DE_SEMANA_t-3,FESTIVO_t-3,PORCENTAJE.USO_t-3,NUMERO.CONEXIONES_t-3,USAGE.KB_t-3,DIA_SEMANA_t-2,LABORAL_t-2,FIN_DE_SEMANA_t-2,FESTIVO_t-2,PORCENTAJE.USO_t-2,NUMERO.CONEXIONES_t-2,USAGE.KB_t-2,DIA_SEMANA_t-1,LABORAL_t-1,FIN_DE_SEMANA_t-1,FESTIVO_t-1,PORCENTAJE.USO_t-1,NUMERO.CONEXIONES_t-1,USAGE.KB_t-1,DIA_SEMANA_t0,LABORAL_t0,FIN_DE_SEMANA_t0,FESTIVO_t0,PORCENTAJE.USO_t0,NUMERO.CONEXIONES_t0,target
0,0,0,1,-0.0013956734124214,0.4363636363636363,0.0185472151628477,1,1,0,0,0.1297976273551989,-0.6545454545454545,0.1723648363454971,2,1,0,0,-0.0334961618981158,-0.4545454545454545,-0.0171127109080372,3,1,0,0,-0.035589672016748,-0.9454545454545454,-0.0217074536172038,4,1,0,0,-0.0321004884856943,-0.509090909090909,-0.0164672823818673,5,0,1,0,-0.0244242847173761,0.0545454545454545,-0.0122867552359897,6,0,1,0,0.0041870202372644,0.4,0.0333231993183645,0,0,0,1,0.041172365666434,-0.3818181818181818,0.1536513446263647
1,1,0,0,0.1297976273551989,-0.6545454545454545,0.1723648363454971,2,1,0,0,-0.0334961618981158,-0.4545454545454545,-0.0171127109080372,3,1,0,0,-0.035589672016748,-0.9454545454545454,-0.0217074536172038,4,1,0,0,-0.0321004884856943,-0.509090909090909,-0.0164672823818673,5,0,1,0,-0.0244242847173761,0.0545454545454545,-0.0122867552359897,6,0,1,0,0.0041870202372644,0.4,0.0333231993183645,0,0,0,1,0.041172365666434,-0.3818181818181818,0.1536513446263647,1,1,0,0,-0.0251221214235868,-0.4727272727272727,-0.0010547246647166
2,1,0,0,-0.0334961618981158,-0.4545454545454545,-0.0171127109080372,3,1,0,0,-0.035589672016748,-0.9454545454545454,-0.0217074536172038,4,1,0,0,-0.0321004884856943,-0.509090909090909,-0.0164672823818673,5,0,1,0,-0.0244242847173761,0.0545454545454545,-0.0122867552359897,6,0,1,0,0.0041870202372644,0.4,0.0333231993183645,0,0,0,1,0.041172365666434,-0.3818181818181818,0.1536513446263647,1,1,0,0,-0.0251221214235868,-0.4727272727272727,-0.0010547246647166,2,1,0,0,0.4912770411723656,-0.2727272727272727,0.8757471376327138
3,1,0,0,-0.035589672016748,-0.9454545454545454,-0.0217074536172038,4,1,0,0,-0.0321004884856943,-0.509090909090909,-0.0164672823818673,5,0,1,0,-0.0244242847173761,0.0545454545454545,-0.0122867552359897,6,0,1,0,0.0041870202372644,0.4,0.0333231993183645,0,0,0,1,0.041172365666434,-0.3818181818181818,0.1536513446263647,1,1,0,0,-0.0251221214235868,-0.4727272727272727,-0.0010547246647166,2,1,0,0,0.4912770411723656,-0.2727272727272727,0.8757471376327138,3,1,0,0,0.0293091416608513,-0.2909090909090909,0.0768237045432855
4,1,0,0,-0.0321004884856943,-0.509090909090909,-0.0164672823818673,5,0,1,0,-0.0244242847173761,0.0545454545454545,-0.0122867552359897,6,0,1,0,0.0041870202372644,0.4,0.0333231993183645,0,0,0,1,0.041172365666434,-0.3818181818181818,0.1536513446263647,1,1,0,0,-0.0251221214235868,-0.4727272727272727,-0.0010547246647166,2,1,0,0,0.4912770411723656,-0.2727272727272727,0.8757471376327138,3,1,0,0,0.0293091416608513,-0.2909090909090909,0.0768237045432855,4,1,0,0,0.043963712491277,-0.7272727272727273,0.1092259875499198
5,0,1,0,-0.0244242847173761,0.0545454545454545,-0.0122867552359897,6,0,1,0,0.0041870202372644,0.4,0.0333231993183645,0,0,0,1,0.041172365666434,-0.3818181818181818,0.1536513446263647,1,1,0,0,-0.0251221214235868,-0.4727272727272727,-0.0010547246647166,2,1,0,0,0.4912770411723656,-0.2727272727272727,0.8757471376327138,3,1,0,0,0.0293091416608513,-0.2909090909090909,0.0768237045432855,4,1,0,0,0.043963712491277,-0.7272727272727273,0.1092259875499198,5,0,1,0,-0.0097697138869504,-0.1454545454545454,0.0092081792323532
6,0,1,0,0.0041870202372644,0.4,0.0333231993183645,0,0,0,1,0.041172365666434,-0.3818181818181818,0.1536513446263647,1,1,0,0,-0.0251221214235868,-0.4727272727272727,-0.0010547246647166,2,1,0,0,0.4912770411723656,-0.2727272727272727,0.8757471376327138,3,1,0,0,0.0293091416608513,-0.2909090909090909,0.0768237045432855,4,1,0,0,0.043963712491277,-0.7272727272727273,0.1092259875499198,5,0,1,0,-0.0097697138869504,-0.1454545454545454,0.0092081792323532,6,0,1,0,-0.0006978367062107,-0.2727272727272727,0.014730725447889
0,0,0,1,0.041172365666434,-0.3818181818181818,0.1536513446263647,1,1,0,0,-0.0251221214235868,-0.4727272727272727,-0.0010547246647166,2,1,0,0,0.4912770411723656,-0.2727272727272727,0.8757471376327138,3,1,0,0,0.0293091416608513,-0.2909090909090909,0.0768237045432855,4,1,0,0,0.043963712491277,-0.7272727272727273,0.1092259875499198,5,0,1,0,-0.0097697138869504,-0.1454545454545454,0.0092081792323532,6,0,1,0,-0.0006978367062107,-0.2727272727272727,0.014730725447889,0,1,0,0,0.043963712491277,-0.7636363636363637,0.0525522467504739
1,1,0,0,-0.0251221214235868,-0.4727272727272727,-0.0010547246647166,2,1,0,0,0.4912770411723656,-0.2727272727272727,0.8757471376327138,3,1,0,0,0.0293091416608513,-0.2909090909090909,0.0768237045432855,4,1,0,0,0.043963712491277,-0.7272727272727273,0.1092259875499198,5,0,1,0,-0.0097697138869504,-0.1454545454545454,0.0092081792323532,6,0,1,0,-0.0006978367062107,-0.2727272727272727,0.014730725447889,0,1,0,0,0.043963712491277,-0.7636363636363637,0.0525522467504739,1,1,0,0,-0.0279134682484298,-0.509090909090909,-0.0146707084660348
2,1,0,0,0.4912770411723656,-0.2727272727272727,0.8757471376327138,3,1,0,0,0.0293091416608513,-0.2909090909090909,0.0768237045432855,4,1,0,0,0.043963712491277,-0.7272727272727273,0.1092259875499198,5,0,1,0,-0.0097697138869504,-0.1454545454545454,0.0092081792323532,6,0,1,0,-0.0006978367062107,-0.2727272727272727,0.014730725447889,0,1,0,0,0.043963712491277,-0.7636363636363637,0.0525522467504739,1,1,0,0,-0.0279134682484298,-0.509090909090909,-0.0146707084660348,2,1,0,0,-0.0293091416608513,-0.6363636363636364,-0.0136022094120401
3,1,0,0,0.0293091416608513,-0.2909090909090909,0.0768237045432855,4,1,0,0,0.043963712491277,-0.7272727272727273,0.1092259875499198,5,0,1,0,-0.0097697138869504,-0.1454545454545454,0.0092081792323532,6,0,1,0,-0.0006978367062107,-0.2727272727272727,0.014730725447889,0,1,0,0,0.043963712491277,-0.7636363636363637,0.0525522467504739,1,1,0,0,-0.0279134682484298,-0.509090909090909,-0.0146707084660348,2,1,0,0,-0.0293091416608513,-0.6363636363636364,-0.0136022094120401,3,1,0,0,-0.032798325191905,-0.8545454545454545,-0.0148763404202566
4,1,0,0,0.043963712491277,-0.7272727272727273,0.1092259875499198,5,0,1,0,-0.0097697138869504,-0.1454545454545454,0.0092081792323532,6,0,1,0,-0.0006978367062107,-0.2727272727272727,0.014730725447889,0,1,0,0,0.043963712491277,-0.7636363636363637,0.0525522467504739,1,1,0,0,-0.0279134682484298,-0.509090909090909,-0.0146707084660348,2,1,0,0,-0.0293091416608513,-0.6363636363636364,-0.0136022094120401,3,1,0,0,-0.032798325191905,-0.8545454545454545,-0.0148763404202566,4,1,0,0,1.3091416608513606,-0.5818181818181818,2.893344903820327
5,0,1,0,-0.0097697138869504,-0.1454545454545454,0.0092081792323532,6,0,1,0,-0.0006978367062107,-0.2727272727272727,0.014730725447889,0,1,0,0,0.043963712491277,-0.7636363636363637,0.0525522467504739,1,1,0,0,-0.0279134682484298,-0.509090909090909,-0.0146707084660348,2,1,0,0,-0.0293091416608513,-0.6363636363636364,-0.0136022094120401,3,1,0,0,-0.032798325191905,-0.8545454545454545,-0.0148763404202566,4,1,0,0,1.3091416608513606,-0.5818181818181818,2.893344903820327,5,0,1,0,2.0795533845080247,-0.109090909090909,3.841971351238072
6,0,1,0,-0.0006978367062107,-0.2727272727272727,0.014730725447889,0,1,0,0,0.043963712491277,-0.7636363636363637,0.0525522467504739,1,1,0,0,-0.0279134682484298,-0.509090909090909,-0.0146707084660348,2,1,0,0,-0.0293091416608513,-0.6363636363636364,-0.0136022094120401,3,1,0,0,-0.032798325191905,-0.8545454545454545,-0.0148763404202566,4,1,0,0,1.3091416608513606,-0.5818181818181818,2.893344903820327,5,0,1,0,2.0795533845080247,-0.109090909090909,3.841971351238072,6,0,1,0,0.0258199581297976,0.3090909090909091,0.0929239978393886
0,1,0,0,0.043963712491277,-0.7636363636363637,0.0525522467504739,1,1,0,0,-0.0279134682484298,-0.509090909090909,-0.0146707084660348,2,1,0,0,-0.0293091416608513,-0.6363636363636364,-0.0136022094120401,3,1,0,0,-0.032798325191905,-0.8545454545454545,-0.0148763404202566,4,1,0,0,1.3091416608513606,-0.5818181818181818,2.893344903820327,5,0,1,0,2.0795533845080247,-0.109090909090909,3.841971351238072,6,0,1,0,0.0258199581297976,0.3090909090909091,0.0929239978393886,0,1,0,0,-0.0265177948360083,-0.4181818181818181,-0.009148162250499
1,1,0,0,-0.0279134682484298,-0.509090909090909,-0.0146707084660348,2,1,0,0,-0.0293091416608513,-0.6363636363636364,-0.0136022094120401,3,1,0,0,-0.032798325191905,-0.8545454545454545,-0.0148763404202566,4,1,0,0,1.3091416608513606,-0.5818181818181818,2.893344903820327,5,0,1,0,2.0795533845080247,-0.109090909090909,3.841971351238072,6,0,1,0,0.0258199581297976,0.3090909090909091,0.0929239978393886,0,1,0,0,-0.0265177948360083,-0.4181818181818181,-0.009148162250499,1,1,0,0,3.095603628750872,-0.6363636363636364,4.745967793510098
